Driver enabled. Microsteps: 16
TIM6 initialized at 10 kHz via HardwareTimer
Stepping running asynchronously at 10 kHz (100 µs intervals)
Setup complete.
12601,161,0.032954,-41.00
12621,158,0.105432,-38.00
12641,164,-0.228531,-44.00
12660,160,0.149975,-40.00
12681,160,-0.005902,-40.00
12700,164,-0.162300,-44.00
12719,163,0.032665,-43.00
12740,163,-0.006308,-43.00
12759,159,0.150081,-39.00
12778,163,-0.162188,-43.00
12799,161,0.064453,-41.00
12818,162,-0.045164,-42.00
12837,163,-0.045299,-43.00
12858,164,-0.041723,-44.00
12877,158,0.228119,-38.00
12896,165,-0.279381,-45.00
12917,163,0.064163,-43.00
12936,168,-0.201847,-48.00
12955,162,0.227578,-42.00
12976,160,0.064540,-40.00
12995,162,-0.084175,-42.00
13014,163,-0.045342,-43.00
13034,162,0.030771,-42.00
13054,163,-0.043404,-43.00
13074,163,-0.006389,-43.00
13093,163,-0.006394,-43.00
13113,163,-0.006399,-43.00
13133,163,-0.006404,-43.00
13152,165,-0.084605,-45.00
13171,162,0.110621,-42.00
13192,163,-0.041675,-43.00
13211,162,0.032675,-42.00
13231,163,-0.043447,-43.00
13250,161,0.071764,-41.00
13270,164,-0.117626,-44.00
13290,165,-0.043723,-45.00
13309,164,0.032390,-44.00
13329,167,-0.118033,-47.00
13349,166,0.030170,-46.00
13368,161,0.188638,-41.00
13388,164,-0.117657,-44.00
13407,164,-0.006603,-44.00
13427,163,0.030542,-43.00
13447,164,-0.043632,-44.00
13466,164,-0.006618,-44.00
13486,163,0.030527,-43.00
13506,163,-0.006497,-43.00
13525,166,-0.123797,-46.00
13545,160,0.216002,-40.00
13565,162,-0.080420,-42.00
13584,165,-0.123681,-45.00
13604,165,-0.006782,-45.00
13623,165,-0.006787,-45.00
13644,163,0.063982,-43.00
13663,165,-0.084733,-45.00
13682,163,0.071394,-43.00
13702,167,-0.155146,-47.00
13722,166,0.030076,-46.00
13741,165,0.032150,-45.00
13761,160,0.178927,-40.00
13781,160,-0.006175,-40.00
13800,152,0.306608,-32.00
13820,138,0.514962,-18.00
13840,127,0.405338,-7.00
13859,113,0.545500,7.00
13879,107,0.222851,13.00
13899,111,-0.147865,9.00
13918,119,-0.312573,1.00
13938,126,-0.260880,-6.00
13958,125,0.035406,-5.00
13977,126,-0.040713,-6.00
13997,128,-0.076046,-8.00
14017,125,0.109442,-5.00
14036,131,-0.236207,-11.00
14056,133,-0.076701,-13.00
14075,130,0.114632,-10.00
14095,134,-0.150873,-14.00
14115,134,-0.002797,-14.00
14134,136,-0.080995,-16.00
14155,137,-0.038449,-17.00
14174,140,-0.120489,-20.00
14193,141,-0.042686,-21.00
14213,144,-0.115171,-24.00
14233,145,-0.041265,-25.00
14252,144,0.034850,-24.00
14272,148,-0.152721,-28.00
14292,147,0.032504,-27.00
14312,147,-0.004519,-27.00
14331,148,-0.043620,-28.00
14350,145,0.112640,-25.00
14371,148,-0.110428,-28.00
14390,149,-0.043760,-29.00
14410,149,-0.004795,-29.00
14429,151,-0.082995,-31.00
14449,151,-0.005063,-31.00
14469,152,-0.042216,-32.00
14488,151,0.033898,-31.00
14508,153,-0.079374,-33.00
14528,154,-0.042488,-34.00
14547,153,0.033626,-33.00
14567,151,0.068954,-31.00
14586,154,-0.122383,-34.00
14606,155,-0.042634,-35.00
14626,155,-0.005618,-35.00
14645,157,-0.083819,-37.00
14665,159,-0.080187,-39.00
14685,157,0.068147,-37.00
14704,155,0.072301,-35.00
14724,157,-0.079939,-37.00
14743,156,0.033194,-36.00
14764,157,-0.041165,-37.00
14783,160,-0.123208,-40.00
14802,157,0.110987,-37.00
14823,158,-0.041308,-38.00
14842,161,-0.123351,-41.00
14862,161,-0.006452,-41.00
14881,159,0.071740,-39.00
14901,163,-0.154800,-43.00
14921,160,0.104723,-40.00
14941,160,-0.006340,-40.00
14960,163,-0.123640,-43.00
14980,165,-0.081041,-45.00
14999,163,0.071190,-43.00
15020,163,-0.006751,-43.00
15039,165,-0.084953,-45.00
15058,163,0.071175,-43.00
15079,165,-0.077540,-45.00
15098,165,-0.007032,-45.00
15117,163,0.071160,-43.00
15138,164,-0.042168,-44.00
15157,164,-0.006916,-44.00
15177,166,-0.081222,-46.00
15196,166,-0.007188,-46.00
15216,165,0.029957,-45.00
15236,163,0.067233,-43.00
15256,168,-0.192562,-48.00
15275,163,0.188023,-43.00
15295,168,-0.192572,-48.00
15315,165,0.103970,-45.00
15334,164,0.032005,-44.00
15354,167,-0.118418,-47.00
15374,165,0.066935,-45.00
15393,166,-0.046207,-46.00
15413,165,0.029906,-45.00
15432,162,0.110177,-42.00
15453,164,-0.077506,-44.00
15472,165,-0.046096,-45.00
15491,159,0.227457,-39.00
15512,165,-0.218678,-45.00
15531,166,-0.046242,-46.00
15550,164,0.070918,-44.00
15571,167,-0.113185,-47.00
15590,168,-0.046518,-48.00
15610,162,0.215345,-42.00
15630,166,-0.155377,-46.00
