6,0.001798,54.00
8224,28,0.011068,92.00
8244,31,-0.019824,89.00
8264,31,0.002990,89.00
8283,32,-0.005038,88.00
8303,30,0.018228,90.00
8323,33,-0.019868,87.00
8342,34,-0.005085,86.00
8362,37,-0.019968,83.00
8381,37,0.002845,83.00
8401,40,-0.020043,80.00
8421,42,-0.012490,78.00
8440,45,-0.021371,75.00
8460,51,-0.043137,69.00
8479,55,-0.029633,65.00
8499,62,-0.051025,58.00
8518,65,-0.021887,55.00
8538,72,-0.051283,48.00
8558,80,-0.059095,40.00
8577,84,-0.030384,36.00
8597,87,-0.021257,33.00
8617,93,-0.044224,27.00
8636,95,-0.014661,25.00
8656,97,-0.013912,23.00
8676,100,-0.021594,20.00
8695,99,0.009249,21.00
8715,102,-0.021645,18.00
8735,100,0.016427,20.00
8754,98,0.017280,22.00
8774,98,0.001273,22.00
8794,100,-0.013987,20.00
8813,99,0.009252,21.00
8833,95,0.031768,25.00
